557	416	1.11	23	551	562	401	431	166
304	153	1.3	23	296	309	144	164	172
810	585	1.32	22	805	816	573	597	148
467	1000	1.8	20	460	472	993	1008	132
630	575	2.06	16	626	635	569	580	82
402	683	2.23	16	397	406	677	688	80
262	647	2.38	17	256	266	643	653	88
778	475	2.42	15	774	782	471	480	74
906	425	2.62	16	903	912	420	429	83
1044	463	2.94	15	1040	1048	458	468	72
584	855	2.96	14	580	588	851	860	66
375	409	3.05	13	371	378	405	413	57
626	550	3.09	12	622	629	547	554	49
362	484	3.27	13	357	364	481	488	51
626	286	3.38	13	623	630	282	289	51
990	262	3.38	13	987	994	256	265	57
299	930	3.61	12	295	301	927	934	47
361	876	3.7	11	357	363	873	880	40
371	528	3.98	10	368	373	525	531	32
629	443	4.2	10	627	632	439	445	34
912	632	4.67	9	910	914	630	635	24
576	694	4.73	8	573	578	693	697	22
183	200	4.76	9	180	185	197	202	28
1058	23	5.04	4	1057	1060	23	24	4
862	1002	5.07	9	860	864	1000	1005	26
1049	21	5.22	3	1049	1049	20	22	3
239	650	5.27	7	237	240	648	652	16
515	394	5.42	7	513	517	392	395	16
1052	22	5.81	3	1051	1052	22	22	2
1041	19	5.82	3	1041	1041	18	19	2
630	841	5.92	7	629	632	840	843	14
998	922	6.3	7	997	999	920	924	14
256	516	7.07	5	255	257	515	517	8
609	470	7.15	6	608	610	468	471	11
987	920	7.26	6	986	988	918	921	10
878	703	7.54	4	878	879	702	704	6
893	387	8.02	5	892	894	386	388	7
719	341	8.12	4	719	720	340	341	4
1020	270	8.31	4	1019	1021	269	270	5
530	824	8.43	3	530	531	824	825	3
958	724	9	4	958	959	724	725	4
199	701	11.48	3	199	199	700	701	2
